system   D            wsystem.c:583  maybe_parent_dir                 [   0.00133] Also searching C:\Users\Rafal\Documents\GitHub\pwAsteroids\build\
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17165] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17167] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17169] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17170] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17172] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17173] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   5.17175] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   5.17176] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   5.17178] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   5.17180] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   5.17198] added dtor for object 0122A390, func 0F442595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   5.17477] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   5.17482] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17622] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17625] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17626] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17628] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17629] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17631] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17632] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17633] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17635] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   5.17636] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   5.17638] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   5.17640] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   5.17641] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   5.17656] added dtor for object 01236348, func 0F442595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   5.17687] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   5.17691] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17793] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17796] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17797] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17799] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17800] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17802] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17803] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17805] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17806] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   5.17808] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   5.17809] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   5.17811] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   5.17812] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   5.17827] added dtor for object 0123CFC8, func 0F442595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   5.17861] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   5.17864] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17966] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17969] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17971] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17972] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17974] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17976] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17978] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17980] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.17981] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   5.17983] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   5.17984] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   5.17986] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   5.17987] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   5.18002] added dtor for object 0123D0C8, func 0F442595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   5.18033] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   5.18036] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18140] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18143] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18145] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18146] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18148] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18149] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18150] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18152] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18153] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   5.18155] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   5.18156] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   5.18158] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   5.18160] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   5.18174] added dtor for object 0123D418, func 0F442595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   5.18205] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   5.18208] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18305] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18307] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18308] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18309] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18310] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18311] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18312] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18313] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18314] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   5.18315] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   5.18316] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   5.18317] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   5.18318] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   5.18329] added dtor for object 0123D518, func 0F442595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   5.18353] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   5.18356] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18451] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18454] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18455] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18457] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18458] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18460] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18461] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18463] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   5.18464] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   5.18466] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   5.18467] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   5.18469] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   5.18470] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   5.18483] added dtor for object 0123E748, func 0F442595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   5.18515] _al_d3d_sync_bitmap (system) ref count == 1
